date,网上签约套数,网上签约面积(m2),住宅签约套数,住宅签约面积(m2)
2025年1月,13940,125475.17,12480,1169916.55
2025年3月,21141,1838723.71,19234,1735524.08
2025年4月,17556,1543113.78,15569,1433251.75
